Model,doy,ydoy,ymd,x,y,z,ZONE,E,N,lat,lon,ell_h,msl_h,DOY
EOT20,2020.125683,2020.46,2/15/2020 0:00,-1391662.811,5971556.579,1750910.622,47,940888.5486,1777625.31,16.03893134,103.1185488,151.3337,179.752,46
EOT20,2020.128415,2020.47,2/16/2020 0:00,-1391662.813,5971556.57,1750910.624,47,940888.5531,1777625.314,16.03893137,103.1185489,151.326,179.7443,47
EOT20,2020.131148,2020.48,2/17/2020 0:00,-1391662.811,5971556.573,1750910.624,47,940888.5498,1777625.313,16.03893136,103.1185489,151.3279,179.7462,48
EOT20,2020.13388,2020.49,2/18/2020 0:00,-1391662.814,5971556.578,1750910.621,47,940888.5521,1777625.31,16.03893133,103.1185489,151.3326,179.751,49
EOT20,2020.136612,2020.5,2/19/2020 0:00,-1391662.811,5971556.57,1750910.62,47,940888.5505,1777625.31,16.03893134,103.1185489,151.3241,179.7425,50
EOT20,2020.139344,2020.51,2/20/2020 0:00,-1391662.814,5971556.574,1750910.621,47,940888.5529,1777625.31,16.03893134,103.1185489,151.3292,179.7475,51
EOT20,2020.142077,2020.52,2/21/2020 0:00,-1391662.814,5971556.571,1750910.624,47,940888.5537,1777625.314,16.03893137,103.1185489,151.3268,179.7452,52
EOT20,2020.144809,2020.53,2/22/2020 0:00,-1391662.812,5971556.573,1750910.623,47,940888.5509,1777625.313,16.03893136,103.1185489,151.3281,179.7465,53
EOT20,2020.147541,2020.54,2/23/2020 0:00,-1391662.813,5971556.571,1750910.62,47,940888.5526,1777625.31,16.03893133,103.1185489,151.3256,179.7439,54
EOT20,2020.150273,2020.55,2/24/2020 0:00,-1391662.815,5971556.577,1750910.622,47,940888.5531,1777625.31,16.03893134,103.1185489,151.3325,179.7508,55
EOT20,2020.153006,2020.56,2/25/2020 0:00,-1391662.815,5971556.58,1750910.618,47,940888.5528,1777625.306,16.0389313,103.1185489,151.3338,179.7521,56
EOT20,2020.155738,2020.57,2/26/2020 0:00,-1391662.813,5971556.573,1750910.621,47,940888.5524,1777625.311,16.03893134,103.1185489,151.3278,179.7461,57
EOT20,2020.15847,2020.58,2/27/2020 0:00,-1391662.813,5971556.576,1750910.623,47,940888.5509,1777625.312,16.03893135,103.1185489,151.3315,179.7499,58
EOT20,2020.161202,2020.59,2/28/2020 0:00,-1391662.815,5971556.574,1750910.621,47,940888.5533,1777625.31,16.03893133,103.1185489,151.3295,179.7478,59
EOT20,2020.163934,2020.6,2/29/2020 0:00,-1391662.815,5971556.578,1750910.622,47,940888.5529,1777625.31,16.03893133,103.1185489,151.3332,179.7515,60
EOT20,2020.166667,2020.61,3/1/2020 0:00,-1391662.817,5971556.582,1750910.625,47,940888.5538,1777625.312,16.03893135,103.1185489,151.3384,179.7567,61
EOT20,2020.169399,2020.62,3/2/2020 0:00,-1391662.814,5971556.584,1750910.621,47,940888.5507,1777625.308,16.03893132,103.1185489,151.3382,179.7565,62
EOT20,2020.172131,2020.63,3/3/2020 0:00,-1391662.812,5971556.572,1750910.622,47,940888.5517,1777625.312,16.03893135,103.1185489,151.3275,179.7458,63
EOT20,2020.174863,2020.64,3/4/2020 0:00,-1391662.817,5971556.586,1750910.623,47,940888.5526,1777625.309,16.03893132,103.1185489,151.3413,179.7596,64
EOT20,2020.177596,2020.65,3/5/2020 0:00,-1391662.813,5971556.573,1750910.621,47,940888.5523,1777625.311,16.03893134,103.1185489,151.3282,179.7465,65
EOT20,2020.180328,2020.66,3/6/2020 0:00,-1391662.816,5971556.589,1750910.629,47,940888.5511,1777625.314,16.03893137,103.1185489,151.3454,179.7637,66
EOT20,2020.18306,2020.67,3/7/2020 0:00,-1391662.819,5971556.585,1750910.623,47,940888.5555,1777625.309,16.03893133,103.1185489,151.3412,179.7596,67
EOT20,2020.185792,2020.68,3/8/2020 0:00,-1391662.82,5971556.601,1750910.631,47,940888.5526,1777625.312,16.03893135,103.1185489,151.3579,179.7762,68
EOT20,2020.188525,2020.69,3/9/2020 0:00,-1391662.817,5971556.586,1750910.625,47,940888.5533,1777625.311,16.03893134,103.1185489,151.3422,179.7605,69
EOT20,2020.191257,2020.7,3/10/2020 0:00,-1391662.816,5971556.579,1750910.623,47,940888.5533,1777625.31,16.03893134,103.1185489,151.3348,179.7531,70
EOT20,2020.193989,2020.71,3/11/2020 0:00,-1391662.817,5971556.574,1750910.618,47,940888.5557,1777625.307,16.03893131,103.1185489,151.3288,179.7471,71
EOT20,2020.196721,2020.72,3/12/2020 0:00,-1391662.808,5971556.569,1750910.618,47,940888.548,1777625.309,16.03893133,103.1185488,151.3221,179.7405,72
EOT20,2020.199454,2020.73,3/13/2020 0:00,-1391662.814,5971556.578,1750910.621,47,940888.5519,1777625.309,16.03893132,103.1185489,151.3329,179.7512,73
EOT20,2020.202186,2020.74,3/14/2020 0:00,-1391662.812,5971556.576,1750910.619,47,940888.5508,1777625.308,16.03893131,103.1185489,151.33,179.7483,74
EOT20,2020.204918,2020.75,3/15/2020 0:00,-1391662.814,5971556.576,1750910.621,47,940888.5529,1777625.31,16.03893133,103.1185489,151.3307,179.7491,75
EOT20,2020.20765,2020.76,3/16/2020 0:00,-1391662.814,5971556.568,1750910.618,47,940888.554,1777625.31,16.03893133,103.1185489,151.3226,179.7409,76
EOT20,2020.210383,2020.77,3/17/2020 0:00,-1391662.817,5971556.583,1750910.626,47,940888.5534,1777625.312,16.03893135,103.1185489,151.3397,179.758,77
EOT20,2020.213115,2020.78,3/18/2020 0:00,-1391662.821,5971556.596,1750910.625,47,940888.555,1777625.308,16.03893132,103.1185489,151.3525,179.7709,78
EOT20,2020.215847,2020.79,3/19/2020 0:00,-1391662.815,5971556.606,1750910.633,47,940888.5469,1777625.313,16.03893136,103.1185488,151.3626,179.7809,79
EOT20,2020.218579,2020.8,3/20/2020 0:00,-1391662.819,5971556.589,1750910.623,47,940888.5543,1777625.308,16.03893131,103.1185489,151.3447,179.7631,80
EOT20,2020.221312,2020.81,3/21/2020 0:00,-1391662.816,5971556.584,1750910.623,47,940888.5526,1777625.309,16.03893133,103.1185489,151.3391,179.7574,81
EOT20,2020.224044,2020.82,3/22/2020 0:00,-1391662.819,5971556.588,1750910.626,47,940888.5548,1777625.311,16.03893134,103.1185489,151.3449,179.7632,82
EOT20,2020.226776,2020.83,3/23/2020 0:00,-1391662.818,5971556.583,1750910.626,47,940888.5544,1777625.312,16.03893135,103.1185489,151.3393,179.7577,83
EOT20,2020.229508,2020.84,3/24/2020 0:00,-1391662.813,5971556.578,1750910.626,47,940888.5505,1777625.314,16.03893137,103.1185489,151.3334,179.7517,84
EOT20,2020.23224,2020.85,3/25/2020 0:00,-1391662.816,5971556.588,1750910.622,47,940888.5513,1777625.307,16.03893131,103.1185489,151.3425,179.7608,85
EOT20,2020.234973,2020.86,3/26/2020 0:00,-1391662.823,5971556.591,1750910.627,47,940888.5574,1777625.311,16.03893134,103.1185489,151.3482,179.7665,86
EOT20,2020.237705,2020.87,3/27/2020 0:00,-1391662.813,5971556.577,1750910.622,47,940888.5508,1777625.31,16.03893134,103.1185489,151.3321,179.7504,87
EOT20,2020.240437,2020.88,3/28/2020 0:00,-1391662.819,5971556.589,1750910.626,47,940888.5544,1777625.311,16.03893134,103.1185489,151.3452,179.7635,88
EOT20,2020.243169,2020.89,3/29/2020 0:00,-1391662.816,5971556.578,1750910.62,47,940888.5537,1777625.309,16.03893132,103.1185489,151.3326,179.7509,89
EOT20,2020.245902,2020.9,3/30/2020 0:00,-1391662.82,5971556.59,1750910.625,47,940888.5546,1777625.309,16.03893133,103.1185489,151.3464,179.7647,90
EOT20,2020.248634,2020.91,3/31/2020 0:00,-1391662.817,5971556.587,1750910.626,47,940888.5525,1777625.312,16.03893135,103.1185489,151.3434,179.7617,91
EOT20,2020.251366,2020.92,4/1/2020 0:00,-1391662.819,5971556.583,1750910.625,47,940888.5551,1777625.312,16.03893135,103.1185489,151.34,179.7583,92
EOT20,2020.254098,2020.93,4/2/2020 0:00,-1391662.818,5971556.581,1750910.625,47,940888.5548,1777625.312,16.03893135,103.1185489,151.3376,179.7559,93
EOT20,2020.256831,2020.94,4/3/2020 0:00,-1391662.814,5971556.578,1750910.623,47,940888.5523,1777625.311,16.03893135,103.1185489,151.3332,179.7515,94
EOT20,2020.259563,2020.95,4/4/2020 0:00,-1391662.819,5971556.587,1750910.632,47,940888.5549,1777625.318,16.0389314,103.1185489,151.3457,179.764,95
EOT20,2020.262295,2020.96,4/5/2020 0:00,-1391662.82,5971556.583,1750910.622,47,940888.5568,1777625.309,16.03893132,103.1185489,151.339,179.7573,96
EOT20,2020.265027,2020.97,4/6/2020 0:00,-1391662.82,5971556.592,1750910.625,47,940888.5545,1777625.31,16.03893133,103.1185489,151.3482,179.7665,97
EOT20,2020.26776,2020.98,4/7/2020 0:00,-1391662.817,5971556.584,1750910.621,47,940888.5534,1777625.308,16.03893131,103.1185489,151.3385,179.7568,98
EOT20,2020.270492,2020.99,4/8/2020 0:00,-1391662.816,5971556.57,1750910.621,47,940888.5552,1777625.311,16.03893135,103.1185489,151.3256,179.7439,99
EOT20,2020.273224,2020.1,4/9/2020 0:00,-1391662.819,5971556.586,1750910.624,47,940888.5548,1777625.31,16.03893134,103.1185489,151.342,179.7603,100
EOT20,2020.275956,2020.101,4/10/2020 0:00,-1391662.816,5971556.585,1750910.625,47,940888.552,1777625.311,16.03893134,103.1185489,151.3404,179.7587,101
EOT20,2020.278689,2020.102,4/11/2020 0:00,-1391662.817,5971556.585,1750910.623,47,940888.5531,1777625.31,16.03893133,103.1185489,151.3401,179.7584,102
EOT20,2020.281421,2020.103,4/12/2020 0:00,-1391662.815,5971556.576,1750910.623,47,940888.5535,1777625.312,16.03893135,103.1185489,151.3315,179.7498,103
EOT20,2020.284153,2020.104,4/13/2020 0:00,-1391662.817,5971556.578,1750910.62,47,940888.5552,1777625.308,16.03893132,103.1185489,151.333,179.7513,104
EOT20,2020.286885,2020.105,4/14/2020 0:00,-1391662.82,5971556.583,1750910.622,47,940888.5568,1777625.308,16.03893132,103.1185489,151.3387,179.757,105
EOT20,2020.289618,2020.106,4/15/2020 0:00,-1391662.822,5971556.592,1750910.624,47,940888.5561,1777625.308,16.03893132,103.1185489,151.3487,179.767,106
EOT20,2020.29235,2020.107,4/16/2020 0:00,-1391662.82,5971556.577,1750910.618,47,940888.5581,1777625.306,16.0389313,103.1185489,151.3324,179.7507,107
EOT20,2020.295082,2020.108,4/17/2020 0:00,-1391662.819,5971556.587,1750910.624,47,940888.5548,1777625.31,16.03893133,103.1185489,151.3428,179.7611,108
EOT20,2020.297814,2020.109,4/18/2020 0:00,-1391662.82,5971556.586,1750910.626,47,940888.5557,1777625.312,16.03893135,103.1185489,151.3432,179.7615,109
EOT20,2020.300546,2020.11,4/19/2020 0:00,-1391662.818,5971556.591,1750910.625,47,940888.5534,1777625.31,16.03893133,103.1185489,151.3469,179.7652,110
EOT20,2020.303279,2020.111,4/20/2020 0:00,-1391662.82,5971556.595,1750910.626,47,940888.5535,1777625.309,16.03893132,103.1185489,151.3514,179.7697,111
EOT20,2020.306011,2020.112,4/21/2020 0:00,-1391662.821,5971556.593,1750910.625,47,940888.5556,1777625.309,16.03893132,103.1185489,151.3491,179.7675,112
EOT20,2020.308743,2020.113,4/22/2020 0:00,-1391662.819,5971556.587,1750910.624,47,940888.5547,1777625.309,16.03893133,103.1185489,151.3428,179.7612,113
EOT20,2020.311475,2020.114,4/23/2020 0:00,-1391662.821,5971556.58,1750910.62,47,940888.5579,1777625.307,16.0389313,103.1185489,151.3361,179.7544,114
EOT20,2020.314208,2020.115,4/24/2020 0:00,-1391662.821,5971556.584,1750910.621,47,940888.5578,1777625.307,16.03893131,103.1185489,151.3401,179.7584,115
EOT20,2020.31694,2020.116,4/25/2020 0:00,-1391662.821,5971556.577,1750910.618,47,940888.5594,1777625.307,16.0389313,103.1185489,151.3323,179.7507,116
EOT20,2020.319672,2020.117,4/26/2020 0:00,-1391662.819,5971556.574,1750910.618,47,940888.5576,1777625.307,16.03893131,103.1185489,151.3291,179.7475,117
EOT20,2020.322404,2020.118,4/27/2020 0:00,-1391662.817,5971556.579,1750910.619,47,940888.555,1777625.307,16.03893131,103.1185489,151.3336,179.7519,118
EOT20,2020.325137,2020.119,4/28/2020 0:00,-1391662.82,5971556.586,1750910.624,47,940888.5562,1777625.31,16.03893133,103.1185489,151.3424,179.7607,119
EOT20,2020.327869,2020.12,4/29/2020 0:00,-1391662.819,5971556.579,1750910.622,47,940888.5564,1777625.31,16.03893133,103.1185489,151.335,179.7533,120
EOT20,2020.330601,2020.121,4/30/2020 0:00,-1391662.818,5971556.579,1750910.622,47,940888.5561,1777625.31,16.03893133,103.1185489,151.3351,179.7534,121
EOT20,2020.333333,2020.122,5/1/2020 0:00,-1391662.824,5971556.586,1750910.627,47,940888.5599,1777625.312,16.03893135,103.1185489,151.3445,179.7628,122
EOT20,2020.336066,2020.123,5/2/2020 0:00,-1391662.824,5971556.592,1750910.623,47,940888.5584,1777625.307,16.03893131,103.1185489,151.3482,179.7665,123
EOT20,2020.338798,2020.124,5/3/2020 0:00,-1391662.82,5971556.58,1750910.62,47,940888.5572,1777625.308,16.03893131,103.1185489,151.3359,179.7542,124
EOT20,2020.34153,2020.125,5/4/2020 0:00,-1391662.822,5971556.586,1750910.62,47,940888.5581,1777625.306,16.03893129,103.1185489,151.3417,179.76,125
EOT20,2020.344262,2020.126,5/5/2020 0:00,-1391662.825,5971556.605,1750910.626,47,940888.5567,1777625.306,16.0389313,103.1185489,151.3618,179.7801,126
EOT20,2020.346995,2020.127,5/6/2020 0:00,-1391662.819,5971556.591,1750910.624,47,940888.5538,1777625.309,16.03893132,103.1185489,151.3463,179.7647,127
EOT20,2020.349727,2020.128,5/7/2020 0:00,-1391662.825,5971556.591,1750910.629,47,940888.5598,1777625.313,16.03893136,103.1185489,151.3498,179.7681,128
EOT20,2020.352459,2020.129,5/8/2020 0:00,-1391662.821,5971556.587,1750910.622,47,940888.5568,1777625.307,16.03893131,103.1185489,151.3427,179.761,129
EOT20,2020.355191,2020.13,5/9/2020 0:00,-1391662.82,5971556.581,1750910.622,47,940888.5571,1777625.309,16.03893133,103.1185489,151.3368,179.7551,130
EOT20,2020.357924,2020.131,5/10/2020 0:00,-1391662.819,5971556.587,1750910.621,47,940888.5552,1777625.306,16.0389313,103.1185489,151.3423,179.7607,131
EOT20,2020.360656,2020.132,5/11/2020 0:00,-1391662.818,5971556.58,1750910.619,47,940888.5558,1777625.307,16.0389313,103.1185489,151.3348,179.7531,132
EOT20,2020.363388,2020.133,5/12/2020 0:00,-1391662.824,5971556.588,1750910.622,47,940888.5594,1777625.307,16.03893131,103.1185489,151.3444,179.7627,133
EOT20,2020.36612,2020.134,5/13/2020 0:00,-1391662.822,5971556.594,1750910.626,47,940888.5565,1777625.309,16.03893133,103.1185489,151.3513,179.7696,134
EOT20,2020.368853,2020.135,5/14/2020 0:00,-1391662.819,5971556.575,1750910.617,47,940888.5574,1777625.306,16.0389313,103.1185489,151.3295,179.7478,135
EOT20,2020.371585,2020.136,5/15/2020 0:00,-1391662.822,5971556.586,1750910.621,47,940888.5579,1777625.307,16.0389313,103.1185489,151.3419,179.7602,136
EOT20,2020.374317,2020.137,5/16/2020 0:00,-1391662.825,5971556.593,1750910.624,47,940888.559,1777625.307,16.03893131,103.1185489,151.35,179.7683,137
EOT20,2020.377049,2020.138,5/17/2020 0:00,-1391662.827,5971556.593,1750910.622,47,940888.5612,1777625.305,16.03893129,103.118549,151.3497,179.768,138
EOT20,2020.379781,2020.139,5/18/2020 0:00,-1391662.82,5971556.587,1750910.623,47,940888.5558,1777625.308,16.03893132,103.1185489,151.3432,179.7615,139
EOT20,2020.382514,2020.14,5/19/2020 0:00,-1391662.825,5971556.599,1750910.623,47,940888.5579,1777625.305,16.03893129,103.1185489,151.3549,179.7732,140
EOT20,2020.385246,2020.141,5/20/2020 0:00,-1391662.824,5971556.591,1750910.621,47,940888.5584,1777625.305,16.03893129,103.1185489,151.347,179.7653,141
EOT20,2020.387978,2020.142,5/21/2020 0:00,-1391662.821,5971556.58,1750910.624,47,940888.5578,1777625.311,16.03893134,103.1185489,151.3372,179.7555,142
EOT20,2020.39071,2020.143,5/22/2020 0:00,-1391662.821,5971556.581,1750910.622,47,940888.5576,1777625.309,16.03893133,103.1185489,151.3378,179.7561,143
EOT20,2020.393443,2020.144,5/23/2020 0:00,-1391662.825,5971556.589,1750910.621,47,940888.56,1777625.306,16.03893129,103.1185489,151.3459,179.7642,144
EOT20,2020.396175,2020.145,5/24/2020 0:00,-1391662.822,5971556.598,1750910.626,47,940888.555,1777625.308,16.03893132,103.1185489,151.3545,179.7728,145
EOT20,2020.398907,2020.146,5/25/2020 0:00,-1391662.827,5971556.598,1750910.625,47,940888.5598,1777625.308,16.03893131,103.1185489,151.355,179.7733,146
EOT20,2020.401639,2020.147,5/26/2020 0:00,-1391662.828,5971556.6,1750910.629,47,940888.5606,1777625.31,16.03893133,103.118549,151.3583,179.7766,147
EOT20,2020.404372,2020.148,5/27/2020 0:00,-1391662.823,5971556.598,1750910.629,47,940888.556,1777625.311,16.03893134,103.1185489,151.3561,179.7744,148
EOT20,2020.407104,2020.149,5/28/2020 0:00,-1391662.823,5971556.584,1750910.625,47,940888.5593,1777625.311,16.03893134,103.1185489,151.341,179.7593,149
EOT20,2020.409836,2020.15,5/29/2020 0:00,-1391662.825,5971556.581,1750910.618,47,940888.5617,1777625.305,16.03893129,103.118549,151.3372,179.7555,150
EOT20,2020.412568,2020.151,5/30/2020 0:00,-1391662.825,5971556.586,1750910.622,47,940888.5611,1777625.308,16.03893131,103.118549,151.3432,179.7616,151
EOT20,2020.415301,2020.152,5/31/2020 0:00,-1391662.822,5971556.574,1750910.616,47,940888.5608,1777625.305,16.03893129,103.118549,151.3294,179.7477,152
EOT20,2020.418033,2020.153,6/1/2020 0:00,-1391662.82,5971556.58,1750910.62,47,940888.5574,1777625.308,16.03893131,103.1185489,151.3359,179.7542,153
EOT20,2020.420765,2020.154,6/2/2020 0:00,-1391662.825,5971556.593,1750910.622,47,940888.5596,1777625.305,16.03893129,103.1185489,151.3493,179.7676,154
EOT20,2020.423497,2020.155,6/3/2020 0:00,-1391662.826,5971556.596,1750910.624,47,940888.5592,1777625.307,16.0389313,103.1185489,151.3525,179.7708,155
EOT20,2020.42623,2020.156,6/4/2020 0:00,-1391662.824,5971556.584,1750910.622,47,940888.5609,1777625.308,16.03893131,103.118549,151.3404,179.7588,156
EOT20,2020.428962,2020.157,6/5/2020 0:00,-1391662.825,5971556.59,1750910.623,47,940888.5603,1777625.307,16.03893131,103.118549,151.3471,179.7654,157
EOT20,2020.431694,2020.158,6/6/2020 0:00,-1391662.823,5971556.584,1750910.621,47,940888.5592,1777625.307,16.03893131,103.1185489,151.3406,179.7589,158
EOT20,2020.434426,2020.159,6/7/2020 0:00,-1391662.823,5971556.579,1750910.621,47,940888.5601,1777625.308,16.03893132,103.1185489,151.3356,179.7539,159
EOT20,2020.437159,2020.16,6/8/2020 0:00,-1391662.823,5971556.588,1750910.622,47,940888.5583,1777625.307,16.03893131,103.1185489,151.3449,179.7632,160
EOT20,2020.439891,2020.161,6/9/2020 0:00,-1391662.822,5971556.58,1750910.619,47,940888.5597,1777625.306,16.0389313,103.1185489,151.3354,179.7537,161
EOT20,2020.442623,2020.162,6/10/2020 0:00,-1391662.824,5971556.586,1750910.621,47,940888.5599,1777625.307,16.0389313,103.1185489,151.3421,179.7604,162
EOT20,2020.445355,2020.163,6/11/2020 0:00,-1391662.822,5971556.592,1750910.622,47,940888.557,1777625.306,16.0389313,103.1185489,151.3475,179.7658,163
EOT20,2020.448087,2020.164,6/12/2020 0:00,-1391662.83,5971556.6,1750910.622,47,940888.5627,1777625.303,16.03893127,103.118549,151.3576,179.7759,164
EOT20,2020.45082,2020.165,6/13/2020 0:00,-1391662.821,5971556.587,1750910.623,47,940888.5564,1777625.309,16.03893132,103.1185489,151.3436,179.7619,165
EOT20,2020.453552,2020.166,6/14/2020 0:00,-1391662.822,5971556.583,1750910.622,47,940888.559,1777625.308,16.03893132,103.1185489,151.3398,179.7582,166
